Artistas,Composición,Género,Nacionalidad,Género musical,Debut
Louis the child,Banda,M,Estados Unidos,Electrónica,2013
Louta,Solista,M,Argentina,Pop,2016
Loyaltty,Solista,F,Chile,Reggaeton,2021
LP,Solista,F,Estados Unidos,Rock,2001
LSV,Solista,M,Chile,Pop,2022
Lua Lacruz,Solista,F,Chile,Pop,2022
Lucybell,Banda,M,Chile,Rock,1991
Lumumba,Banda,M,Argentina,Reggae,1996
Mac Demarco,Solista,M,Canadá,Indie rock,2012
Machine Gun Kelly,Solista,M,Estados Unidos,hip-hop/rap,2012
Machuca,Banda,M,Chile,Punk,1991
Macklemore,Solista,M,Estados Unidos,Hip hop,2000
Macky Banton,Solista,M,Reino Unido,Reggae,2013
Mad Professor,Solista,M,Guyana,Reggae,1982
Madds,Solista,F,Estados Unidos,Pop,2017
Magaly Fields,Banda,M,Chile,Rock and Roll,2011
Magic Twins,Banda,M,Chile,Show de Magia,2003
Maho Oli,Solista,M,Chile,Show de Magia,2012
Major Lazer,Solista,M,Estados Unidos,Reggae,2009
Mala Rodríguez,Solista,F,España,Hip-hop/rap,1996
Malamen,Banda,M,Chile,Reggae,2022
Malenie Ribbe,Solista,F,Alemania,Electrónica,2015
Manu Da Banda,Banda,Mixto,Chile,Reggae,2009
Manuel Garcia,Solista,M,Chile,Folk,2004
Marc Seguí,Solista,M,España,Pop,2019
Marcelo d2,Solista,M,Brasil,Samba-rap,1995
Marcianeke,Solista,M,Chile,RKT,2015
Maria Magdalena,Solista,F,Chile,Electrónica,2013
Mariel Mariel,Solista,F,Chile,Pop,2007
Marilina Bertoldi,Solista,F,Argentina,Rock,2010
Marina,Solista,F,Reino Unido,Pop ,2009
Marina and the diamonds,Solista,F,Inglaterra,Pop,2005
Marina Reche,Solista,F,España,Pop,2023
